project, filepath_prev, filepath_curr, disc_prev, undisc_prev,disc_curr, undisc_curr
postgres,processing/prev_ver/src/backend/postmaster/fork_process.c,processing/curr_ver/src/backend/postmaster/fork_process.c,4,0,5,0
postgres,processing/prev_ver/src/backend/bootstrap/bootstrap.c,processing/curr_ver/src/backend/bootstrap/bootstrap.c,2,0,1,0
postgres,processing/prev_ver/src/backend/optimizer/plan/subselect.c,processing/curr_ver/src/backend/optimizer/plan/subselect.c,0,0,1,0
postgres,processing/prev_ver/src/backend/optimizer/util/predtest.c,processing/curr_ver/src/backend/optimizer/util/predtest.c,1,0,0,0
postgres,processing/prev_ver/src/backend/optimizer/util/plancat.c,processing/curr_ver/src/backend/optimizer/util/plancat.c,0,0,1,0
postgres,processing/prev_ver/src/backend/optimizer/util/relnode.c,processing/curr_ver/src/backend/optimizer/util/relnode.c,0,0,2,0
postgres,processing/prev_ver/src/backend/optimizer/path/pathkeys.c,processing/curr_ver/src/backend/optimizer/path/pathkeys.c,1,0,0,0
postgres,processing/prev_ver/src/backend/optimizer/path/clausesel.c,processing/curr_ver/src/backend/optimizer/path/clausesel.c,2,0,1,0
postgres,processing/prev_ver/src/backend/optimizer/geqo/geqo_ox1.c,processing/curr_ver/src/backend/optimizer/geqo/geqo_ox1.c,0,0,1,0
postgres,processing/prev_ver/src/backend/optimizer/geqo/geqo_ox2.c,processing/curr_ver/src/backend/optimizer/geqo/geqo_ox2.c,0,0,1,0
postgres,processing/prev_ver/src/backend/optimizer/geqo/geqo_px.c,processing/curr_ver/src/backend/optimizer/geqo/geqo_px.c,0,0,1,0
postgres,processing/prev_ver/src/backend/optimizer/geqo/geqo_main.c,processing/curr_ver/src/backend/optimizer/geqo/geqo_main.c,34,0,36,0
postgres,processing/prev_ver/src/backend/optimizer/geqo/geqo_mutation.c,processing/curr_ver/src/backend/optimizer/geqo/geqo_mutation.c,0,0,1,0
postgres,processing/prev_ver/src/backend/optimizer/geqo/geqo_cx.c,processing/curr_ver/src/backend/optimizer/geqo/geqo_cx.c,0,0,1,0
